Row Labels,Genotype,Range,Row,Rep,Commercial,Average of RM,,,,,BL_DATE,Planting_DATE,Pollen_Date,Silking_Date,Days_Planting_to_BL,Days_Planting_to_Pollen,Days_Pollen_BL,_8_10_23,8_16_23,8_23_23,8_30_23,9_5_23,9_13_23,9_20_23,9_29_23,Weight (lb),Moisture (%),Test Weight (lb/bu),Harvest Sequence,Yield,Moisture_8_22_23,Moisture_8_29_23,Moisture_9_5_23,Moisture_9_12_23,Moisture_9_18_23,Moisture_9_25_23,Moisture_10_2_23,Moisture_10_10_23
621052,LH226Ht X PH24E,10,49,1,NO,90.95,90.95,0,,10_8_23,10/8/23,5/11/23,7/23/23,7/25/23,150,73,77,0.126600204,0.124459938,0.506825142,0.120571856,0.118574063,0.079219037,0.074043377,0.058046036,26.68,18.9,55.4,152,177.1,65.40755467,55.95238095,47.81746032,39.6,40.23904382,37.17693837,33.06772908,28.94211577
621053,FBLL X PH24E,10,51,1,NO,95.1,95.1,0,,10_17_23,10/17/23,5/11/23,7/23/23,7/25/23,159,73,86,0.139655932,0.118521389,0.522835441,0.121260476,0.12662142,0.094991659,0.097163414,0.087066368,31.97,20.1,54,196,209,65.4,56.66003976,51.88866799,42.1471173,43.31337325,39.63039014,36.30952381,32.93413174
621054,LH204 X PH24E,10,53,1,NO,90.95,90.95,0,,10_17_23,10/17/23,5/11/23,7/26/23,7/28/23,159,76,83,0.130991585,0.11537885,0.528350849,0.124958937,0.117379757,0.099313414,0.108268361,0.089905258,30.02,18.1,53.7,240,201.2,70.17892644,61.15537849,45.8,45.61752988,44.71057884,40.31936128,36,33.4
621055,DKC51-20RIB,11,53,1,YES,101,101,0,,10_8_23,10/8/23,5/11/23,7/24/23,7/25/23,150,74,76,0.156846597,0.150228997,0.660714461,0.14438431,0.145241902,0.098522341,0.075341066,0.048730117,29.73,16.4,55.4,242,203.4,62.8742515,51.88866799,47.10578842,40.91816367,40.27777778,39.00990099,30.6,23
621056,W10004_1047 X PHK76_LH82_0158,11,51,1,NO,90.95,90.95,0,0.040957125,10_8_23,10/8/23,5/11/23,7/26/23,7/25/23,150,76,74,0.12903137,0.120311395,0.519595501,0.111806939,0.103352851,0.061328662,0.043503754,0.040957125,26.1,17.3,56.6,198,176.6,66.8,55.97609562,48.30339321,42.46031746,38.52295409,36.05577689,28.88446215,22.8
621057,PHTE7 X LH244,11,49,1,NO,100.105,100.105,0,,10_8_23,10/8/23,5/11/23,7/27/23,7/28/23,150,77,73,0.10379011,0.094098599,0.452975551,0.099169327,0.10586541,0.078788879,0.06155574,0.046616439,28.37,18.9,55.6,154,188.3,66.99801193,57.37051793,47.91252485,41.2,39.56262425,37.8,33.13373253,29.28286853
621058,DKC58-35RIB,11,47,1,YES,108,108,0,,10_17_23,10/17/23,5/11/23,7/28/23,7/28/23,159,78,81,0.176584362,0.168532867,0.779146949,0.167967805,0.168347923,0.126687856,0.122818937,0.098189663,37.25,18.3,56.3,110,249,63.8,57.28542914,44.11177645,44.62151394,42.77227723,39.92015968,34.32539683,27.14570858
621059,W10004_1078 X PHN46_3IIH6_0008,11,45,1,NO,90.95,90.95,0,0.03876777,9_29_23,9/29/23,5/11/23,7/26/23,7/25/23,141,76,65,0.125049623,0.138717848,0.541032383,0.119390308,0.120148372,0.098986047,0.081698216,0.03876777,32.37,17.3,54.9,66,219,61,54.6,44.4,40.6374502,41.11776447,35.1888668,33.13373253,25.8
621060,LH162 X LH244,11,43,1,NO,100.105,100.105,0,0.034082713,9_29_23,9/29/23,5/11/23,7/26/23,7/26/23,141,76,65,0.090850821,0.099863474,0.413298916,0.087886331,0.098203897,0.078384795,0.070048468,0.034082713,32.24,21.4,56.2,22,207.4,61.15537849,49.50298211,49.50298211,39.2,36.52694611,33.99602386,29.34131737,22.75449102
622001,DKC60-87RIB,12,43,2,YES,110,110,0,,10_17_23,10/17/23,5/11/23,7/31/23,7/30/23,159,81,78,0.137197443,0.143865627,0.623527833,0.126914369,0.146600623,0.116137051,0.117698159,0.09564693,25.31,19.3,54.2,24,167.1,71.05788423,59.48103792,45.81673307,44.91017964,43.31337325,43,38.49206349,34.53093812
622002,W10004_1078 X 3IIH6_PHK76_0318,12,45,2,NO,90.95,90.95,0,0.080492959,9_20_23,9/20/23,5/11/23,7/25/23,7/25/23,132,75,57,0.125946531,0.143261702,0.57182156,0.115752262,0.130509984,0.092750415,0.080492959,0.040676529,31.52,17.4,56.1,68,213,66.33466135,54.29141717,41.51696607,40.6374502,36.50793651,36.52694611,31.07569721,26.94610778
622003,W10004_0444 X PHK76_LH82_0158,12,47,2,NO,100.105,100.105,0,0.049069847,9_29_23,9/29/23,5/11/23,7/26/23,7/27/23,141,76,65,0.129186557,0.139389207,0.524039672,0.119622087,0.119049906,0.082942328,0.057974565,0.049069847,22.62,20.1,60.4,112,147.9,59.2,51.09780439,47.01195219,38.24701195,35.12974052,31.2,28.8,24.750499
622004,LH226Ht X PH24E,12,49,2,NO,90.95,90.95,0,,10_8_23,10/8/23,5/11/23,7/25/23,7/27/23,150,75,75,0.132726276,0.135706309,0.534794086,0.117715692,0.121651476,0.081398689,0.071650832,0.051541918,23.63,18.3,54.2,156,158,68.46307385,54.8,35.6,38.84462151,38.17097416,36.6,32.4,28.57142857
622005,DKC32-12RIB,12,51,2,YES,82,82,0,0.037709127,9_20_23,9/20/23,5/11/23,7/15/23,7/16/23,132,65,67,0.115804439,0.115280885,0.474699455,0.109897597,0.092153818,0.056331825,0.037709127,0.011145398,26.65,17,56.9,200,181,52.08747515,42.82868526,45.32803181,31.4,27.49003984,23.65805169,20.55888224,15.6
622006,PHB47 X PH24E,12,53,2,NO,100.105,100.105,0,,10_8_23,10/8/23,5/11/23,7/26/23,7/27/23,150,76,74,0.115195982,0.115227905,0.500383511,0.109830274,0.109024352,0.08635571,0.076507523,0.038625064,29.72,19.3,54.2,244,196.3,64.8111332,55.28942116,43.51297405,39.2,37.5249501,36.45418327,32.6,31.74603175
622007,LH162 X LH244,13,53,2,NO,100.105,100.105,0,,10_8_23,10/8/23,5/11/23,7/26/23,7/28/23,150,76,74,0.105376697,0.102400433,0.464410452,0.104560775,0.103861458,0.09243052,0.073154442,0.034395728,22.63,19.5,57.8,246,149.1,60.9561753,51.39442231,41.83266932,39.64143426,36.36363636,32.66932271,29.42345924,26.29482072
622008,FBHJ X PH24E,13,51,2,NO,90.95,90.95,0,0.062202567,9_20_23,9/20/23,5/11/23,7/24/23,7/25/23,132,74,58,0.100869447,0.093633229,0.410789597,0.095066084,0.094766834,0.071636452,0.062202567,0.048724951,26.9,17.6,56.6,202,181.4,66.06786427,52.89421158,44.8,41,37.1031746,33.00198807,26.4,24.10358566
